x,y
[-3.14159265],[0.10472663]
[-3.12057866],[0.16149494]
[-3.09956466],[0.04750001]
[-3.07855066],[0.03603356]
[-3.05753666],[0.08711002]
[-3.01550867],[0.11250395]
[-2.97348067],[0.1833107]
[-2.93145268],[0.13824175]
[-2.91043868],[0.31702847]
[-2.88942468],[0.19797761]
[-2.86841068],[0.10594962]
[-2.84739669],[0.08173161]
[-2.82638269],[0.27006686]
[-2.80536869],[0.1870013]
[-2.7633407],[0.19888833]
[-2.7423267],[0.2068044]
[-2.7213127],[0.12114632]
[-2.7002987],[0.1474802]
[-2.6792847],[0.32457913]
[-2.65827071],[0.31095953]
[-2.59522871],[0.17663298]
[-2.57421472],[0.33254296]
[-2.55320072],[0.17283027]
[-2.53218672],[0.3179591]
[-2.51117272],[0.18101997]
[-2.49015873],[0.29269487]
[-2.46914473],[0.35357921]
[-2.42711673],[0.30059317]
[-2.40610273],[0.2309221]
[-2.38508874],[0.46556418]
[-2.36407474],[0.25415582]
[-2.34306074],[0.29166231]
[-2.32204674],[0.15792711]
[-2.30103275],[0.40284078]
[-2.28001875],[0.25829702]
[-2.23799075],[0.3387777]
[-2.21697676],[0.19035315]
[-2.15393476],[0.29321123]
[-2.13292076],[0.33131352]
[-2.11190677],[0.43969153]
[-2.09089277],[0.37394841]
[-2.06987877],[0.32647821]
[-2.04886477],[0.41571236]
[-2.02785078],[0.34425465]
[-2.00683678],[0.24187964]
[-1.98582278],[0.39547243]
[-1.96480878],[0.40428178]
[-1.92278079],[0.42677926]
[-1.90176679],[0.38308105]
[-1.85973879],[0.3902206]
[-1.8387248],[0.39023303]
[-1.7966968],[0.3814016]
[-1.7756828],[0.36414974]
[-1.75466881],[0.41837272]
[-1.73365481],[0.24640041]
[-1.71264081],[0.48477215]
[-1.69162681],[0.32341019]
[-1.67061282],[0.40918958]
[-1.64959882],[0.3023506]
[-1.62858482],[0.40734621]
[-1.58655683],[0.31542922]
[-1.48148684],[0.42988773]
[-1.46047284],[0.50299334]
[-1.43945884],[0.35474286]
[-1.41844484],[0.39752303]
[-1.39743085],[0.39052841]
[-1.37641685],[0.52801694]
[-1.35540285],[0.51610423]
[-1.33438885],[0.50452156]
[-1.31337486],[0.51193972]
[-1.29236086],[0.43783349]
[-1.27134686],[0.43701006]
[-1.22931886],[0.43777251]
[-1.16627687],[0.54331975]
[-1.14526287],[0.52593349]
[-1.12424888],[0.52315603]
[-1.08222088],[0.41912633]
[-1.06120688],[0.40675483]
[-1.04019289],[0.48602997]
[-1.01917889],[0.50651713]
[-0.99816489],[0.38213114]
[-0.97715089],[0.48661905]
[-0.9351229],[0.56581312]
[-0.9141089],[0.51872346]
[-0.8930949],[0.48396546]
[-0.8720809],[0.48762164]
[-0.83005291],[0.59116296]
[-0.78802491],[0.53358227]
[-0.74599692],[0.58305105]
[-0.72498292],[0.41925257]
[-0.70396892],[0.59259723]
[-0.68295492],[0.53750243]
[-0.66194093],[0.53924516]
[-0.61991293],[0.69277565]
[-0.59889893],[0.50220138]
[-0.57788494],[0.53211267]
[-0.55687094],[0.60039196]
[-0.53585694],[0.48399068]
[-0.51484294],[0.61041061]
[-0.49382895],[0.60384456]
[-0.47281495],[0.61096308]
[-0.45180095],[0.55778437]
[-0.43078695],[0.59237129]
[-0.40977295],[0.57065922]
[-0.38875896],[0.53707348]
[-0.36774496],[0.55258027]
[-0.34673096],[0.53658504]
[-0.32571696],[0.56345501]
[-0.30470297],[0.62444489]
[-0.28368897],[0.50038307]
[-0.26267497],[0.70085638]
[-0.24166097],[0.5928138]
[-0.22064698],[0.68254716]
[-0.19963298],[0.62923671]
[-0.17861898],[0.53037223]
[-0.15760498],[0.70030998]
[-0.13659098],[0.64847617]
[-0.09456299],[0.63775714]
[-0.07354899],[0.70766586]
[-0.05253499],[0.53121806]
[-0.010507],[0.67540296]
[0.010507],[0.56748871]
[0.031521],[0.58830236]
[0.07354899],[0.73751789]
[0.09456299],[0.58433298]
[0.11557699],[0.63655559]
[0.13659098],[0.75661546]
[0.17861898],[0.67361887]
[0.19963298],[0.74809557]
[0.22064698],[0.61927124]
[0.24166097],[0.72426514]
[0.26267497],[0.58850264]
[0.28368897],[0.58143014]
[0.34673096],[0.66422515]
[0.36774496],[0.60438474]
[0.38875896],[0.63801651]
[0.40977295],[0.75097627]
[0.43078695],[0.56321156]
[0.45180095],[0.52515773]
[0.47281495],[0.76732753]
[0.49382895],[0.57471542]
[0.51484294],[0.68849192]
[0.55687094],[0.65089854]
[0.57788494],[0.6518344]
[0.59889893],[0.62091447]
[0.61991293],[0.62543601]
[0.66194093],[0.58863682]
[0.70396892],[0.79268298]
[0.72498292],[0.54516034]
[0.74599692],[0.74320323]
[0.76701092],[0.77214583]
[0.78802491],[0.63519166]
[0.80903891],[0.64213365]
[0.83005291],[0.61554315]
[0.85106691],[0.72075408]
[0.8720809],[0.81691868]
[0.9141089],[0.58832257]
[0.9351229],[0.78697842]
[0.95613689],[0.63572443]
[0.99816489],[0.76788653]
[1.01917889],[0.83017794]
[1.04019289],[0.58554695]
[1.06120688],[0.64409153]
[1.08222088],[0.71893517]
[1.10323488],[0.70185061]
[1.14526287],[0.79605855]
[1.16627687],[0.67115975]
[1.18729087],[0.73326042]
[1.20830487],[0.73103207]
[1.22931886],[0.70111844]
[1.25033286],[0.65241891]
[1.27134686],[0.71055735]
[1.31337486],[0.73541842]
[1.33438885],[0.68040795]
[1.35540285],[0.8014401]
[1.39743085],[0.79250176]
[1.41844484],[0.83025371]
[1.46047284],[0.80173596]
[1.48148684],[0.80392579]
[1.52351483],[0.74418658]
[1.54452883],[0.87267022]
[1.56554283],[0.90002408]
[1.58655683],[0.81877603]
[1.62858482],[0.76645523]
[1.64959882],[0.65906759]
[1.69162681],[0.81701384]
[1.73365481],[0.89687823]
[1.7966968],[0.80158311]
[1.8177108],[0.79649366]
[1.90176679],[0.89097024]
[1.92278079],[0.77940843]
[1.94379479],[0.84423754]
[1.96480878],[0.82744938]
[1.98582278],[0.77216682]
[2.00683678],[0.76351953]
[2.02785078],[0.76794635]
[2.04886477],[0.73340889]
[2.06987877],[0.81578744]
[2.13292076],[0.76046673]
[2.15393476],[0.88039641]
[2.17494876],[0.85644799]
[2.19596276],[0.92161291]
[2.21697676],[0.79255678]
[2.23799075],[0.69934884]
[2.25900475],[0.8411127]
[2.28001875],[0.9125365]
[2.30103275],[0.88178952]
[2.32204674],[0.93098308]
[2.34306074],[0.96438458]
[2.36407474],[0.85033523]
[2.38508874],[0.8265356]
[2.40610273],[0.84432696]
[2.42711673],[0.90330425]
[2.46914473],[0.84834302]
[2.49015873],[0.65301241]
[2.51117272],[0.95312235]
[2.53218672],[0.86614344]
[2.55320072],[0.89720598]
[2.57421472],[0.86491785]
[2.59522871],[0.94504754]
[2.61624271],[0.87754658]
[2.63725671],[0.86373329]
[2.65827071],[0.91826027]
[2.6792847],[0.87357734]
[2.7213127],[0.85702557]
[2.7423267],[0.85829026]
[2.78435469],[0.94785286]
[2.80536869],[0.93509962]
[2.82638269],[0.81639757]
[2.84739669],[0.89766655]
[2.88942468],[0.74048573]
